mir	auto	count
hsa-miR-20a-5p	auto_regulate	37
hsa-miR-20a-5p	no_feedback	20
hsa-miR-146a-5p	auto_regulate	10
hsa-miR-146a-5p	no_feedback	3
hsa-miR-122-5p	auto_regulate	13
hsa-miR-122-5p	no_feedback	7
hsa-miR-222-3p	no_feedback	10
hsa-miR-222-3p	auto_regulate	20
hsa-miR-21-5p	auto_regulate	30
hsa-miR-21-5p	no_feedback	13
hsa-miR-148a-3p	auto_regulate	10
hsa-miR-148a-3p	no_feedback	7
hsa-miR-93-5p	auto_regulate	43
hsa-miR-93-5p	no_feedback	26
hsa-miR-9-5p	auto_regulate	25
hsa-miR-9-5p	no_feedback	4
hsa-miR-765	no_feedback	9
hsa-miR-765	auto_regulate	11
hsa-miR-7-5p	no_feedback	9
hsa-miR-7-5p	auto_regulate	8
hsa-miR-661	no_feedback	3
hsa-miR-661	auto_regulate	7
hsa-miR-659-3p	no_feedback	2
hsa-miR-659-3p	auto_regulate	3
hsa-miR-562	auto_regulate	6
hsa-miR-562	no_feedback	1
hsa-miR-559	auto_regulate	9
hsa-miR-559	no_feedback	4
hsa-miR-548d-3p	no_feedback	5
hsa-miR-548d-3p	auto_regulate	12
hsa-miR-532-5p	auto_regulate	2
hsa-miR-504-5p	no_feedback	3
hsa-miR-504-5p	auto_regulate	5
hsa-miR-485-3p	no_feedback	4
hsa-miR-485-3p	auto_regulate	2
hsa-miR-451a	auto_regulate	1
hsa-miR-429	auto_regulate	10
hsa-miR-429	no_feedback	4
hsa-miR-375	auto_regulate	16
hsa-miR-375	no_feedback	10
hsa-miR-373-3p	no_feedback	13
hsa-miR-373-3p	auto_regulate	17
hsa-miR-372-3p	auto_regulate	15
hsa-miR-372-3p	no_feedback	11
hsa-miR-34b-5p	auto_regulate	7
hsa-miR-34b-5p	no_feedback	3
hsa-miR-34a-5p	auto_regulate	37
hsa-miR-34a-5p	no_feedback	16
hsa-miR-346	auto_regulate	11
hsa-miR-346	no_feedback	1
hsa-miR-328-3p	no_feedback	4
hsa-miR-328-3p	auto_regulate	3
hsa-miR-326	auto_regulate	7
hsa-miR-326	no_feedback	2
hsa-miR-31-5p	auto_regulate	8
hsa-miR-31-5p	no_feedback	5
hsa-miR-302d-3p	auto_regulate	16
hsa-miR-302d-3p	no_feedback	11
hsa-miR-29b-3p	auto_regulate	17
hsa-miR-29b-3p	no_feedback	4
hsa-miR-298	no_feedback	4
hsa-miR-298	auto_regulate	3
hsa-miR-27a-3p	auto_regulate	27
hsa-miR-27a-3p	no_feedback	10
hsa-miR-26a-5p	auto_regulate	15
hsa-miR-26a-5p	no_feedback	12
hsa-miR-24-3p	auto_regulate	19
hsa-miR-24-3p	no_feedback	12
hsa-miR-223-3p	auto_regulate	10
hsa-miR-223-3p	no_feedback	8
hsa-miR-221-3p	auto_regulate	17
hsa-miR-221-3p	no_feedback	10
hsa-miR-217	auto_regulate	4
hsa-miR-217	no_feedback	2
hsa-miR-214-3p	auto_regulate	10
hsa-miR-214-3p	no_feedback	8
hsa-miR-210-3p	no_feedback	6
hsa-miR-210-3p	auto_regulate	6
hsa-miR-206	auto_regulate	4
hsa-miR-206	no_feedback	5
hsa-miR-204-5p	auto_regulate	19
hsa-miR-204-5p	no_feedback	9
hsa-miR-200c-3p	auto_regulate	13
hsa-miR-200c-3p	no_feedback	10
hsa-miR-200b-3p	auto_regulate	13
hsa-miR-200b-3p	no_feedback	7
