Gene name	3' UTR start	3' UTR end	mean_utr_len	max_utr_len	median_utr_len	auto_reg
A1BG	58345183.0	58347021.0	1838.0	1838.0	1838.0	not_in_net
A1CF	50801457.85714286	50806728.0	5270.142857142857	7319.0	7307.0	not_in_net
A2M	9098307.222222222	9098393.777777778	86.55555555555556	168.0	109.0	not_in_net
A2ML1	8877184.0	8877413.555555556	229.55555555555554	729.0	92.0	not_in_net
A4GALT	42692121.5	42692889.0	767.5	768.0	767.5	not_in_net
A4GNT	138123713.0	138124263.0	550.0	550.0	550.0	not_in_net
AAAS	53307462.2	53307600.0	137.8	571.0	29.0	not_in_net
AACS	125105468.33333333	125105719.66666667	251.33333333333334	1086.0	93.0	not_in_net
AADAC	151826510.0	151826674.0	164.0	315.0	164.0	not_in_net
AADACL2	151756322.25	151757722.25	1400.0	4347.0	171.0	not_in_net
AADACL3	12725997.0	12728760.0	2763.0	2763.0	2763.0	not_in_net
AADACL4	12666736.0	12667086.0	350.0	350.0	350.0	not_in_net
AADAT	170060223.75	170060927.0	703.25	705.0	705.0	not_in_net
AAGAB	67201704.66666667	67202820.0	1115.3333333333333	2153.0	1113.0	not_in_net
AAK1	69471663.8	69477167.8	5504.0	17871.0	1529.0	not_in_net
AAMDC	77887648.25	77887753.08333333	104.83333333333333	332.0	63.5	not_in_net
AAMP	218264193.5	218264532.0	338.5	409.0	386.5	not_in_net
AANAT	76469710.0	76469890.5	180.5	336.0	146.0	not_in_net
AAR2	36260745.0	36261594.666666664	849.6666666666666	1187.0	1187.0	not_in_net
AARD	116942702.0	116944487.0	1785.0	1785.0	1785.0	not_in_net
AARS	70252295.0	70252720.0	425.0	425.0	425.0	not_in_net
AARS2	44298731.0	44300546.0	1815.0	1815.0	1815.0	not_in_net
AARSD1	42956334.928571425	42956434.928571425	100.0	202.0	96.5	not_in_net
AASDH	56349803.08	56350044.04	240.96	795.0	180.0	not_in_net
AASDHPPT	106094889.5	106095531.0	641.5	1787.0	354.0	not_in_net
AASS	122081780.7826087	122082047.39130434	266.60869565217394	2939.0	115.0	not_in_net
AATF	37011467.75	37011620.416666664	152.66666666666666	206.0	154.0	not_in_net
AATK	81119641.84615384	81120661.76923077	1019.9230769230769	7914.0	200.0	not_in_net
ABAT	8770905.631578946	8771334.631578946	429.0	3144.0	111.0	not_in_net
ABCA1	104832670.0	104833899.66666667	1229.6666666666667	3308.0	231.0	not_in_net
ABCA10	69173347.26027398	69173505.12328768	157.86301369863014	917.0	119.0	not_in_net
ABCA12	214979885.33333334	214980257.66666666	372.3333333333333	1091.0	15.0	not_in_net
ABCA13	48409835.78947368	48410255.10526316	419.3157894736842	1984.0	139.0	not_in_net
ABCA2	137011590.125	137011806.29166666	216.16666666666666	722.0	139.0	not_in_net
ABCA3	2291700.3333333335	2292283.6666666665	583.3333333333334	792.0	792.0	not_in_net
ABCA4	94010435.33333333	94010731.0	295.6666666666667	402.0	401.0	not_in_net
ABCA5	69261947.54166667	69262158.35416667	210.8125	3225.0	119.0	not_in_net
ABCA6	69106966.0	69107482.5	516.5	763.0	516.5	not_in_net
ABCA7	1060969.7	1061091.7	122.0	254.0	132.5	not_in_net
ABCA8	68900365.42857143	68900647.64285715	282.2142857142857	795.0	152.5	not_in_net
ABCA9	68997345.0	68998437.33333333	1092.3333333333333	1426.0	1282.0	not_in_net
ABCB1	87503785.0	87504242.0	457.0	609.0	383.0	not_in_net
ABCB10	229516582.0	229518178.0	1596.0	1596.0	1596.0	not_in_net
ABCB11	168939677.0	168940030.1	353.1	2840.0	162.5	not_in_net
ABCB4	87433312.5	87433456.6923077	144.19230769230768	396.0	143.0	not_in_net
ABCB5	20724146.4	20725046.4	900.0	1384.0	1060.0	not_in_net
ABCB6	219213185.21052632	219213294.7368421	109.52631578947368	270.0	98.0	not_in_net
ABCB7	75063909.42857143	75064349.5	440.07142857142856	2321.0	143.0	not_in_net
ABCB8	151038454.53061223	151038705.79591838	251.26530612244898	2432.0	136.0	not_in_net
ABCB9	122936240.76190476	122936673.71428572	432.95238095238096	1002.0	197.0	not_in_net
ABCC1	16154110.7	16154940.1	829.4	1793.0	273.0	not_in_net
ABCC10	43450092.0	43450424.666666664	332.6666666666667	335.0	333.0	not_in_net
ABCC11	48166910.5	48167273.0	362.5	363.0	362.5	not_in_net
ABCC12	48092743.425925925	48092933.62962963	190.2037037037037	1180.0	152.0	not_in_net
ABCC2	99811175.53333333	99811441.2	265.6666666666667	962.0	234.0	not_in_net
ABCC3	50672193.36363637	50672388.06818182	194.70454545454547	1052.0	146.0	not_in_net
ABCC4	95149956.96470588	95150151.49411765	194.52941176470588	1825.0	119.0	not_in_net
ABCC5	183957491.4054054	183957920.16216215	428.7567567567568	3911.0	146.0	not_in_net
ABCC6	16211538.18	16211769.16	230.98	1210.0	158.0	not_in_net
ABCC8	17408565.76162791	17408701.046511628	135.28488372093022	1945.0	103.0	not_in_net
ABCC9	21891851.25	21893529.75	1678.5	3642.0	1415.5	not_in_net
ABCD1	153736653.5	153737326.0	672.5	1019.0	672.5	not_in_net
ABCD2	39550033.0	39553911.0	3878.0	3878.0	3878.0	not_in_net
ABCD3	94504270.33333333	94505349.66666667	1079.3333333333333	1533.0	1533.0	not_in_net
ABCD4	74292480.41489361	74292605.60638298	125.19148936170212	1191.0	94.0	not_in_net
ABCE1	145122330.55555555	145122649.1111111	318.55555555555554	1950.0	122.0	not_in_net
ABCF1	30602541.454545453	30603252.09090909	710.6363636363636	820.0	730.0	not_in_net
ABCF2	151209660.5	151211061.5	1401.0	2569.0	1401.0	not_in_net
ABCF3	184190059.6	184190234.8	175.2	308.0	97.0	not_in_net
ABCG1	42296393.0	42297244.0	851.0	851.0	851.0	not_in_net
ABCG2	88090227.66666667	88092273.66666667	2046.0	2091.0	2083.0	not_in_net
ABCG4	119161107.0	119161912.33333333	805.3333333333334	1546.0	541.0	not_in_net
ABCG5	43812472.0	43813115.0	643.0	643.0	643.0	not_in_net
ABCG8	43877914.0	43882988.0	5074.0	5074.0	5074.0	not_in_net
ABHD1	27130242.85714286	27130403.0	160.14285714285714	279.0	173.0	not_in_net
ABHD10	111989598.75	111990047.875	449.125	1646.0	150.0	not_in_net
ABHD11	73736850.5	73737096.85714285	246.35714285714286	597.0	175.5	not_in_net
ABHD12	25303727.5	25303970.184210528	242.68421052631578	671.0	127.0	not_in_net
ABHD12B	50892730.09090909	50892901.63636363	171.54545454545453	631.0	80.5	not_in_net
ABHD13	108230233.0	108234243.0	4010.0	4010.0	4010.0	not_in_net
ABHD14A	51980989.333333336	51981196.666666664	207.33333333333334	265.0	180.0	not_in_net
ABHD14A-ACY1	51986783.18181818	51986962.57416268	179.39234449760767	1998.0	79.0	not_in_net
ABHD14B	51968743.5	51969492.166666664	748.6666666666666	915.0	883.5	not_in_net
ABHD15	29560547.0	29562560.0	2013.0	2013.0	2013.0	not_in_net
ABHD16A	31693417.253333334	31693541.026666667	123.77333333333333	397.0	86.0	not_in_net
ABHD16B	63862951.0	63862988.0	37.0	37.0	37.0	not_in_net
ABHD17A	1877356.8333333333	1877625.3333333333	268.5	389.0	222.0	not_in_net
ABHD17B	71863802.0	71864683.0	881.0	1634.0	881.0	not_in_net
ABHD17C	80754371.0	80755159.66666667	788.6666666666666	1250.0	968.0	not_in_net
ABHD18	128024613.5	128025399.92857143	786.4285714285714	4113.0	152.5	not_in_net
ABHD2	89195424.0	89199053.0	3629.0	6931.0	3629.0	not_in_net
ABHD3	21666645.444444444	21666968.777777776	323.3333333333333	689.0	177.0	not_in_net
ABHD4	22607519.25	22607831.083333332	311.8333333333333	2266.0	149.5	not_in_net
ABHD5	43715274.885714285	43715732.91428571	458.0285714285714	4192.0	154.0	not_in_net
ABHD6	58278290.25	58278859.25	569.0	968.0	576.0	not_in_net
ABHD8	17292131.0	17292660.0	529.0	529.0	529.0	not_in_net
ABI1	26746621.272727273	26748569.0	1947.7272727272727	1976.0	1976.0	not_in_net
ABI2	203395871.875	203397122.96875	1251.09375	20375.0	144.0	not_in_net
ABI3	49222595.5	49222957.5	362.0	509.0	324.0	not_in_net
ABI3BP	100832036.66666667	100832476.44444445	439.77777777777777	1338.0	210.0	not_in_net
ABITRAM	108945140.5	108945849.0	708.5	1267.0	708.5	not_in_net
ABL1	130885684.0	130887675.0	1991.0	1991.0	1991.0	not_in_net
ABL2	179103659.0	179107717.0	4058.0	8387.0	3669.0	not_in_net
ABLIM1	114435360.3	114437643.1	2282.8	5146.0	808.0	not_in_net
ABLIM2	7971116.875	7972120.5	1003.625	1677.0	851.5	not_in_net
ABLIM3	149243596.04347825	149244054.3478261	458.30434782608694	2148.0	80.0	not_in_net
