gene	average_utr_length	type
TARM1	63.666666666666664	other
AC011043.1	1784.0	other
KLF13	2871.75	tr
GPX5	452.5	other
NLRP2	203.41538461538462	other
PRPF31	334.1818181818182	other
GP6	833.6363636363636	other
AC011295.1	89.0	other
MBOAT7	578.2325581395348	other
CNOT3	297.3766233766234	other
AP006285.3	560.0	other
GSTT2B	238.33333333333334	other
LENG1	129.8	other
AC004556.1	186.0	other
AC006518.8	31.0	other
OSCAR	785.9354838709677	other
AC012314.9	70.0	other
TMC4	158.88888888888889	other
MAFIP	1136.0	other
TSEN34	778.4411764705883	other
AC012314.1	70.0	other
RDH13	452.43589743589746	other
POLR3B	647.0	other
APPL2	232.42105263157896	other
WASHC4	255.96666666666667	other
SCHIP1	438.25	other
A2ML1	229.33333333333334	other
FDPS	64.77777777777777	other
F11	244.4	other
AL021546.1	46.0	other
COX6A1	204.0	other
SRSF9	250.0	other
TRIAP1	910.0	other
NR0B2	355.0	other
HAVCR1	190.75	other
DNTTIP2	985.75	other
ELOA	1756.6666666666667	other
SHC1	1322.0	other
ENTPD4	1353.6666666666667	other
MRPL22	999.625	other
TP53BP1	342.1923076923077	other
ID3	260.5	tr
ANKS1B	622.1333333333333	other
AREL1	304.64	other
NOX5	606.9166666666666	other
CREB3L4	278.4	other
ABCF3	175.2	other
PHF5A	680.0	other
RCVRN	1774.0	other
CRYZL1	286.86206896551727	other
TFDP2	1020.4736842105264	other
S100A7	61.0	other
S100A12	120.0	other
PGLYRP4	646.0	other
REG4	762.5	other
SPRR2E	397.0	other
SPRR4	443.0	other
LDLRAD1	938.5	other
SMCP	273.0	other
CCER1	604.0	other
SFTA2	132.71428571428572	other
PRDM2	733.9230769230769	other
GPRIN3	7118.5	other
C1orf210	512.0	other
HLA-A	514.8518518518518	other
SQSTM1	369.55555555555554	other
UBA3	169.83333333333334	other
CAV3	562.6666666666666	other
C13orf46	3067.0	other
OR6C75	3229.0	other
OR6C3	50.0	other
COL16A1	313.5	other
VPS72	260.0	other
SCTR	273.0	other
NCL	1659.0	other
HPS3	466.6666666666667	other
KCNMB3	927.5	other
ABHD16A	123.85333333333334	other
CLSTN2	11143.0	other
OR9K2	674.3333333333334	other
LRRC38	868.0	other
KIAA1109	318.42857142857144	other
ARHGAP20	1947.1666666666667	other
APOL2	818.0	other
HIVEP2	1634.6666666666667	other
PRAMEF17	126.0	other
MFAP3L	2542.75	other
TMEM94	173.92307692307693	other
TES	574.1666666666666	other
ACTBL2	1560.0	other
TECPR2	2294.5	other
IWS1	161.33333333333334	other
MRPS21	750.0	other
YEATS2	1203.0	other
CPB1	182.0	other
GALC	178.26666666666668	other
LEMD2	486.7142857142857	other
NTRK3	1823.7692307692307	other
PIK3IP1	1103.0	other
EGR3	1430.3333333333333	other
DCUN1D5	113.37837837837837	other
PRPF3	215.0	other
PATZ1	1090.0	other
HSD17B8	176.0	other
DYM	304.26666666666665	other
TNFRSF10B	438.1111111111111	other
CHAD	263.6666666666667	other
ANKRD9	1775.6666666666667	other
TCTN1	137.51111111111112	other
LHX5	1155.0	other
ACSF2	126.42307692307692	other
ZYG11A	1464.75	other
RBX1	820.0	other
CCER2	227.5	other
SP7	1568.0	other
BPIFA2	112.0	other
ZNF69	543.0	other
CDC7	1328.0	other
RING1	322.0	other
AC011005.1	44.0	other
APOM	177.14285714285714	other
PLRG1	199.06666666666666	other
NR1D1	295.0	other
TSPAN33	921.0	other
KIAA1551	571.0	other
NDUFS8	105.3125	other
ZNF700	515.6666666666666	other
FOXC2	886.0	other
RPRD2	1342.6666666666667	other
AC008770.2	160.88888888888889	other
THRA	928.2	other
FOXL1	2398.0	other
ZNF763	581.3333333333334	other
CCNA2	1192.5	other
LTA4H	96.10526315789474	other
CRYBG2	138.25	other
TMEM181	3539.0	other
PPM1H	4506.0	other
EXOSC9	324.8181818181818	other
PEBP4	118.0	other
SNRNP40	432.0	other
DEPDC7	126.0	other
EP300	1122.0	tr
RHOBTB2	2140.6666666666665	other
UBAC1	430.0	other
ARMC9	703.2222222222222	other
AC131160.1	1787.0	other
MAP6D1	479.75	other
MESP1	1482.0	other
SP1	2797.0	tr
DDX51	2677.0	other
TRIP10	220.77777777777777	other
DYNLT1	352.0	other
ZNF572	1530.0	other
PARL	149.10344827586206	other
CASKIN2	427.6666666666667	other
TARS2	176.0	other
HERC3	1507.0	other
FANK1	105.4	other
MED24	164.76190476190476	other
CYP4B1	172.0	other
PABPC4	152.0	other
HSBP1L1	230.75	other
PRAMEF12	306.0	other
AGPAT4	1214.5833333333333	other
TXNL4A	366.29411764705884	other
PRAMEF1	631.0	other
PPARA	5590.333333333333	other
FBXO31	1763.0	other
SPDYE6	29.5	other
HVCN1	391.57142857142856	other
PRAMEF11	336.0	other
PIGY	0.0	other
PYURF	902.0	other
RPS18	43.0	other
FDX1	2412.0	other
HIPK1	2023.111111111111	other
NAP1L5	1290.0	other
MESP2	388.0	other
AC010531.1	119.0	other
C16orf95	157.0	other
CFAP52	137.0	other
SESTD1	822.1538461538462	other
SMO	298.3333333333333	other
ADSSL1	161.5625	other
PRAMEF2	129.0	other
ECHDC2	191.93103448275863	other
PHKA1	1824.0	other
TGFBR3	401.39473684210526	other
YBX1	199.0	other
KLRG2	538.5	other
MAP1LC3B	577.3	other
SLC38A3	263.85714285714283	other
VPS52	182.44660194174756	other
ANPEP	136.1	other
MRPS12	366.3333333333333	other
ABCD4	123.55319148936171	other
FBXO17	507.25	other
FCGRT	261.75	other
USP43	533.0	other
FSD2	2029.0	other
CYB561	968.3076923076923	other
SARS2	117.0625	other
ACKR3	803.0	other
CLEC2L	641.0	other
PPP1CC	409.9	other
PTAFR	1990.3333333333333	other
RBM19	497.57142857142856	other
EPB42	103.6	other
COL8A1	1842.5	other
PRAMEF6	202.0	other
DNAJC8	377.0	other
PRAMEF7	67.0	other
RCOR1	1456.6666666666667	tr
PRAMEF10	19.0	other
ANGPTL6	248.66666666666666	other
PRAMEF4	319.0	other
ATP5IF1	584.25	other
C19orf66	329.2	other
C4B	139.5	other
CDPF1	773.6666666666666	other
QPCTL	414.0	other
ZCCHC17	718.5	other
PRRC2A	184.0	other
TMEM62	139.8235294117647	other
SNRPD2	104.85714285714286	other
AMHR2	170.0	other
AC011455.2	201.0	other
DENND6B	3108.0	other
DIP2B	273.96153846153845	other
SEMA4D	873.3571428571429	other
SYTL3	269.25	other
ANKRD7	149.8	other
GYG1	523.0	other
TMCO3	827.3	other
TENM4	2708.5	other
C1QC	251.66666666666666	other
SLC6A15	1806.0	other
